Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,PLAYOFFS,YEAR
Oakland Athletics,41,28,5.7,50,112,0.309,5.48,162,162,162,0,5,0,29,1419.2,1464,924,865,213,694,33,1300,100,4,76,6384,75,5.05,1.52,9.3,1.4,4.4,8.2,1.87,1219,0,2023
Seattle Mariners,35,27.4,4.07,88,74,0.543,3.74,162,162,160,2,18,1,44,1449.1,1300,659,602,184,421,22,1459,57,4,41,6006,109,3.88,1.187,8.1,1.1,2.6,9.1,3.47,1026,0,2023
Tampa Bay Rays,40,28.5,4.1,99,63,0.611,3.86,162,162,162,0,14,0,45,1442,1258,665,618,177,439,10,1507,63,1,65,5994,108,3.8,1.177,7.9,1.1,2.7,9.4,3.43,1019,1,2023
Texas Rangers,31,30.4,4.42,90,72,0.556,4.28,162,162,159,3,13,1,30,1436.1,1330,716,683,198,491,19,1351,59,4,46,6025,105,4.31,1.268,8.3,1.2,3.1,8.5,2.75,1016,1,2023
Toronto Blue Jays,26,30.6,4.14,89,73,0.549,3.78,162,162,161,1,15,1,51,1451.2,1326,671,610,198,488,29,1528,62,12,42,6100,113,4.06,1.25,8.2,1.2,3,9.5,3.13,1100,1,2023
Arizona Diamondbacks,34,28.5,4.7,84,78,0.519,4.47,162,162,161,1,9,1,44,1435.1,1375,761,713,197,525,13,1351,48,8,40,6100,98,4.35,1.324,8.6,1.2,3.3,8.5,2.57,1050,1,2023
Atlanta Braves,32,29.9,4.42,104,58,0.642,4.14,162,162,161,1,15,1,52,1440,1341,716,662,187,534,14,1516,70,8,56,6135,108,4.1,1.302,8.4,1.2,3.3,9.5,2.84,1112,1,2023
Chicago Cubs,27,29.6,4.46,83,79,0.512,4.08,162,162,161,1,13,1,35,1435.1,1328,723,651,179,513,5,1377,64,6,57,6085,110,4.16,1.283,8.3,1.1,3.2,8.6,2.68,1073,0,2023
Cincinnati Reds,40,27.7,5.07,82,80,0.506,4.83,162,162,162,0,6,0,53,1439.1,1426,821,772,222,613,13,1381,81,7,48,6310,95,4.79,1.417,8.9,1.4,3.8,8.6,2.25,1189,0,2023
Colorado Rockies,34,29.7,5.91,59,103,0.364,5.67,162,162,162,0,6,0,32,1414,1599,957,891,234,586,13,1129,86,7,51,6316,89,5.24,1.545,10.2,1.5,3.7,7.2,1.93,1129,0,2023
Los Angeles Dodgers,39,28.1,4.31,100,62,0.617,4.06,162,162,162,0,15,0,44,1446.1,1284,699,652,200,454,20,1388,73,4,49,6018,108,4.23,1.202,8,1.2,2.8,8.6,3.06,1000,1,2023
Miami Marlins,32,27.6,4.46,84,78,0.519,4.21,162,162,159,3,9,1,43,1435.1,1340,723,672,191,514,20,1490,71,9,38,6091,107,4.13,1.292,8.4,1.2,3.2,9.3,2.9,1081,1,2023
Milwaukee Brewers,34,29.3,3.99,92,70,0.568,3.71,162,162,161,1,16,1,46,1443,1218,647,595,198,493,7,1425,60,8,54,5990,116,4.21,1.186,7.6,1.2,3.1,8.9,2.89,1036,0,2023
