Tm	Fld	RA/G	DefEff	G	GS	CG	Inn	Ch	PO	A	E	DP	Fld%	Rtot	PLAYOFFS	YEAR
Toronto Blue Jays	42	4.65	0.693	162	1458	1097	12855	6096	4285	1712	99	157	0.984	32	0	2006
Washington Nationals	57	5.38	0.689	162	1458	1118	12927	5941	4309	1501	131	123	0.978	-37	0	2006
Arizona Diamondbacks	43	5.28	0.683	162	1458	1093	13107	6257	4369	1794	94	159	0.985	-25		2005
Atlanta Braves	45	4.16	0.693	162	1458	1142	12993	6219	4331	1802	86	170	0.986	71		2005
Baltimore Orioles	46	4.94	0.692	162	1458	1111	12849	6069	4283	1679	107	154	0.982	7		2005
Boston Red Sox	52	4.97	0.682	162	1458	1063	12861	6019	4287	1623	109	135	0.982	-72		2005
Chicago Cubs	43	4.41	0.699	162	1458	1109	12960	6079	4320	1658	101	136	0.983	0	1	2005
Chicago White Sox	37	3.98	0.711	162	1458	1183	13281	6191	4427	1670	94	166	0.985	8		2005
Cincinnati Reds	45	5.45	0.676	163	1467	1153	12897	5990	4299	1587	104	133	0.983	-49		2005
Cleveland Indians	36	3.96	0.709	162	1458	1212	13074	6110	4358	1646	106	156	0.983	70	1	2005
Colorado Rockies	53	5.32	0.67	162	1458	1121	12768	6080	4256	1706	118	158	0.981	-24		2005
Detroit Tigers	45	4.86	0.695	162	1458	1133	12921	6208	4307	1791	110	171	0.982	12		2005
Florida Marlins	47	4.52	0.677	162	1458	1123	12981	6089	4327	1659	103	177	0.983	-50		2005
Houston Astros	36	3.74	0.705	163	1467	1068	12987	6118	4329	1700	89	146	0.985	43	1	2005
Kansas City Royals	45	5.77	0.666	162	1458	1165	12720	6011	4240	1646	125	163	0.979	-77		2005
Los Angeles Angels of Anaheim	40	3.97	0.7	162	1458	1114	13179	6001	4393	1521	87	139	0.986	27		2005
Los Angeles Dodgers	44	4.66	0.699	162	1458	1078	12846	6115	4282	1727	106	141	0.983	-4		2005
Milwaukee Brewers	38	4.3	0.696	162	1458	1157	12942	5915	4314	1482	119	139	0.98	-12		2005
Minnesota Twins	37	4.09	0.702	162	1458	1137	13179	6259	4393	1764	102	171	0.984	33	1	2005
New York Mets	42	4	0.7	162	1458	1128	12921	6070	4307	1657	106	146	0.983	11		2005
New York Yankees	51	4.87	0.69	162	1458	1097	12876	6075	4292	1688	95	151	0.984	-67	1	2005
Oakland Athletics	41	4.06	0.715	162	1458	1188	13053	6088	4351	1649	88	166	0.986	61		2005
Philadelphia Phillies	40	4.48	0.703	162	1458	1130	12915	6003	4305	1608	90	132	0.985	69		2005
Pittsburgh Pirates	44	4.75	0.693	162	1458	1101	12924	6228	4308	1803	117	193	0.981	6		2005
San Diego Padres	46	4.48	0.689	162	1458	1049	13098	6004	4366	1529	109	136	0.982	-42		2005
Seattle Mariners	48	4.64	0.701	162	1458	1200	12849	5944	4283	1575	86	144	0.986	-8		2005
San Francisco Giants	49	4.6	0.699	162	1458	1104	12999	6053	4333	1630	90	146	0.985	18	1	2005
St. Louis Cardinals	40	3.91	0.703	162	1458	1030	13011	6388	4337	1951	100	196	0.984	90		2005
Tampa Bay Devil Rays	43	5.78	0.681	162	1458	1104	12795	5835	4265	1446	124	139	0.979	-43	1	2005
Texas Rangers	50	5.3	0.68	162	1458	1202	12960	6106	4320	1678	108	149	0.982	-34		2005
Toronto Blue Jays	36	4.35	0.701	162	1458	1109	13023	6193	4341	1757	95	154	0.985	5	1	2005
Washington Nationals	54	4.15	0.697	162	1458	1087	13122	6014	4374	1548	92	156	0.985	-5		2005
Anaheim Angels	38	4.53	0.688	162	1458	1062	13089	5964	4363	1511	90	126	0.985	-10		2004
Arizona Diamondbacks	52	5.55	0.682	162	1458	1147	12924	6163	4308	1716	139	144	0.977	-7		2004
Atlanta Braves	39	4.12	0.688	162	1458	1095	13050	6257	4350	1791	116	171	0.981	49		2004
Baltimore Orioles	46	5.12	0.686	162	1458	1150	13098	6159	4366	1683	110	161	0.982	-13	1	2004
Boston Red Sox	49	4.74	0.693	162	1458	982	13062	6122	4354	1650	118	129	0.981	-2		2004
Chicago Cubs	43	4.1	0.697	162	1458	1123	13188	6061	4396	1579	86	126	0.986	-2		2004
Chicago White Sox	42	5.13	0.693	162	1458	1137	12891	6064	4297	1667	100	167	0.984	-4		2004
Cincinnati Reds	44	5.6	0.688	162	1458	1063	12993	6085	4331	1641	113	123	0.981	-13		2004
Cleveland Indians	51	5.29	0.684	162	1458	1160	13200	6182	4400	1676	106	152	0.983	-20		2004
Colorado Rockies	47	5.7	0.677	162	1458	1081	12918	6218	4306	1823	89	161	0.986	-34		2004
Detroit Tigers	39	5.21	0.681	162	1458	1125	12957	6175	4319	1712	144	160	0.977	-19	1	2004
Florida Marlins	45	4.32	0.699	162	1458	1153	12951	6006	4317	1603	86	153	0.986	13		2004
Houston Astros	42	4.31	0.685	162	1458	1064	12987	6050	4329	1620	101	136	0.983	8		2004
Kansas City Royals	58	5.59	0.674	162	1458	1180	12783	6027	4261	1635	131	169	0.978	-52	1	2004
Los Angeles Dodgers	43	4.22	0.711	162	1458	1112	13080	6099	4360	1666	73	145	0.988	70		2004
Milwaukee Brewers	40	4.7	0.693	161	1449	1168	12978	6037	4326	1594	117	132	0.981	3	1	2004
Minnesota Twins	42	4.41	0.684	162	1458	1120	13284	6187	4428	1658	101	158	0.984	-33		2004
Montreal Expos	46	4.75	0.694	162	1458	1122	13023	6139	4341	1699	99	172	0.984	39	1	2004
New York Mets	52	4.51	0.696	162	1458	1040	13041	6229	4347	1745	137	144	0.978	-23		2004
New York Yankees	43	4.99	0.685	162	1458	1119	12993	6001	4331	1571	99	148	0.984	-54		2004
Oakland Athletics	36	4.58	0.698	162	1458	1161	13242	6314	4414	1809	91	172	0.986	19		2004
Philadelphia Phillies	39	4.82	0.702	162	1458	1157	13164	6098	4388	1629	81	142	0.987	39		2004
Pittsburgh Pirates	43	4.62	0.684	161	1449	1042	12852	6080	4284	1693	103	189	0.983	-17		2004
San Diego Padres	46	4.35	0.693	162	1458	1099	12969	6033	4323	1602	108	146	0.982	-17		2004
Seattle Mariners	48	5.08	0.699	162	1458	1143	13134	5954	4378	1473	103	140	0.983	19		2004
San Francisco Giants	42	4.75	0.694	162	1458	1064	13113	6209	4371	1737	101	153	0.984	20	1	2004
St. Louis Cardinals	37	4.07	0.71	162	1458	1037	13083	6292	4361	1834	97	154	0.985	72		2004
Tampa Bay Devil Rays	47	5.23	0.699	161	1449	1163	12753	5900	4251	1530	119	139	0.98	38	1	2004
Texas Rangers	52	4.9	0.686	162	1458	1151	12957	6064	4342	1607	115	152	0.981	-23		2004
Toronto Blue Jays	47	5.11	0.691	161	1449	1184	12789	5985	4263	1631	91	150	0.985	-20	1	2004
Anaheim Angels	43	4.59	0.702	162	1458	1033	12882	5916	4294	1517	105	138	0.982	86		2003
Arizona Diamondbacks	43	4.23	0.69	162	1458	1110	13095	6165	4365	1693	107	132	0.983	25		2003
Atlanta Braves	34	4.57	0.699	162	1458	1111	13107	6374	4369	1884	121	166	0.981	42		2003
Baltimore Orioles	42	5.03	0.684	163	1467	1226	13047	6137	4349	1683	105	164	0.983	-49		2003
Boston Red Sox	47	4.99	0.683	162	1458	1096	13182	6186	4394	1679	113	130	0.982	-49	1	2003
Chicago Cubs	42	4.22	0.692	162	1458	1103	13107	6156	4369	1681	106	157	0.983	7		2003
Chicago White Sox	40	4.41	0.705	162	1458	1075	12879	5974	4293	1588	93	154	0.984	26		2003
Cincinnati Reds	57	5.47	0.685	162	1458	1100	13017	6180	4339	1700	141	152	0.977	29		2003
Cleveland Indians	54	4.8	0.698	162	1458	1156	13134	6284	4378	1780	126	178	0.98	31		2003
Colorado Rockies	49	5.51	0.678	162	1458	1120	12780	6161	4260	1785	116	165	0.981	9	1	2003
Detroit Tigers	42	5.73	0.685	162	1458	1156	12948	6267	4316	1813	138	194	0.978	-43	1	2003
Florida Marlins	40	4.27	0.691	162	1458	1185	13008	6004	4336	1590	78	162	0.987	-15		2003
Houston Astros	43	4.18	0.705	162	1458	1113	13050	6155	4350	1710	95	149	0.985	-9		2003
Kansas City Royals	53	5.35	0.69	162	1458	1135	12948	6129	4316	1705	108	143	0.982	-17	1	2003
Los Angeles Dodgers	42	3.43	0.702	162	1458	1058	13119	6302	4373	1810	119	164	0.981	48		2003
Milwaukee Brewers	42	5.39	0.683	162	1458	1171	13068	6087	4356	1617	114	142	0.981	-15		2003
Minnesota Twins	42	4.68	0.698	162	1458	1129	13158	5954	4386	1481	87	114	0.985	-35		2003
Montreal Expos	43	4.42	0.694	162	1458	1082	12939	6147	4313	1732	102	152	0.983	9		2003
New York Mets	50	4.68	0.688	161	1449	957	12720	6013	4240	1655	118	158	0.98	-51	1	2003
New York Yankees	49	4.39	0.681	163	1467	1194	13158	6078	4386	1578	114	126	0.981	-66		2003
Oakland Athletics	41	3.97	0.711	162	1458	1133	12975	6211	4325	1779	107	145	0.983	19		2003
Philadelphia Phillies	37	4.3	0.701	162	1458	1179	12993	6122	4331	1694	97	146	0.984	62		2003
Pittsburgh Pirates	45	4.94	0.691	162	1458	1058	12999	6300	4333	1844	123	159	0.98	-28		2003
San Diego Padres	51	5.13	0.695	162	1458	1085	12882	6030	4294	1634	102	141	0.983	-26		2003
Seattle Mariners	36	3.93	0.721	162	1458	1185	12969	5838	4323	1450	65	159	0.989	75	1	2003
San Francisco Giants	46	3.96	0.71	161	1449	1105	12936	6067	4312	1675	80	163	0.987	46	1	2003
St. Louis Cardinals	42	4.91	0.7	162	1458	973	13173	6112	4391	1644	77	138	0.987	32		2003
Tampa Bay Devil Rays	50	5.26	0.708	162	1458	1172	12930	5993	4310	1580	103	158	0.983	-12	1	2003
Texas Rangers	52	5.98	0.674	162	1458	1091	12900	6097	4300	1703	94	168	0.985	-43		2003
Toronto Blue Jays	40	5.1	0.681	162	1458	1149	12915	6164	4305	1742	117	161	0.981	-50		2003
Anaheim Angels	40	3.98	0.718	162	1458	1075	13071	6019	4357	1575	87	151	0.986	98		2002
Arizona Diamondbacks	41	4.16	0.697	162	1458	1085	13020	5935	4340	1506	89	116	0.985	-4		2002
Atlanta Braves	38	3.51	0.712	161	1449	1108	13206	6338	4402	1822	114	170	0.982	77		2002
Baltimore Orioles	46	4.77	0.701	162	1458	1165	13056	6163	4352	1720	91	173	0.985	43	1	2002
Boston Red Sox	39	4.1	0.702	162	1458	1150	13014	6087	4338	1645	104	140	0.983	62	1	2002
Chicago Cubs	44	4.69	0.685	162	1458	1060	12972	5938	4324	1500	114	144	0.981	-55		2002
Chicago White Sox	35	4.93	0.706	162	1458	1168	12807	5961	4269	1595	97	157	0.984	13		2002
Cincinnati Reds	43	4.78	0.69	162	1458	1071	13083	6254	4361	1773	120	169	0.981	1		2002
Cleveland Indians	59	5.17	0.674	162	1458	1153	12822	6049	4274	1662	113	161	0.981	-49		2002
Colorado Rockies	43	5.54	0.691	162	1458	1081	12840	6093	4280	1701	112	158	0.982	34	1	2002
Detroit Tigers	56	5.37	0.678	161	1449	1209	12726	6103	4242	1719	142	148	0.977	-41	1	2002
Florida Marlins	41	4.71	0.689	162	1458	1135	13107	6111	4369	1636	106	163	0.983	-13		2002
Houston Astros	41	4.29	0.687	162	1458	1048	13005	6081	4335	1663	83	149	0.986	-44		2002
Kansas City Royals	52	5.5	0.685	162	1458	1148	12969	6155	4323	1702	130	153	0.979	-21	1	2002
Los Angeles Dodgers	41	3.97	0.716	162	1458	1078	13119	6149	4373	1686	90	134	0.985	44		2002
Milwaukee Brewers	49	5.07	0.696	162	1458	1099	12891	6033	4297	1633	103	154	0.983	-14		2002
Minnesota Twins	42	4.42	0.703	161	1449	1103	13002	5830	4334	1422	74	124	0.987	21		2002
Montreal Expos	43	4.43	0.684	162	1458	1124	13077	6297	4359	1799	139	160	0.978	-13		2002
New York Mets	47	4.37	0.692	161	1449	1035	12984	6100	4328	1628	144	138	0.976	-23		2002
New York Yankees	37	4.33	0.688	161	1449	1145	13068	6007	4356	1524	127	117	0.979	-56		2002
Oakland Athletics	41	4.04	0.704	162	1458	1080	13068	6256	4356	1798	102	144	0.984	-6		2002
Philadelphia Phillies	39	4.5	0.705	161	1449	1147	13047	6137	4349	1700	88	156	0.986	24		2002
Pittsburgh Pirates	37	4.53	0.693	161	1449	1016	12714	6252	4238	1899	115	177	0.982	11		2002
San Diego Padres	59	5.03	0.675	162	1458	1004	12927	6118	4309	1681	128	162	0.979	-71		2002
Seattle Mariners	38	4.31	0.703	162	1458	1079	13008	5939	4336	1515	88	134	0.985	5		2002
San Francisco Giants	38	3.8	0.705	162	1458	1089	12936	6032	4312	1630	90	166	0.985	38		2002
St. Louis Cardinals	44	4	0.707	162	1458	1017	13017	6116	4339	1674	103	168	0.983	49		2002
Tampa Bay Devil Rays	43	5.7	0.687	161	1449	1238	12963	6014	4321	1567	126	168	0.979	-8	1	2002
Texas Rangers	51	5.44	0.688	162	1458	1037	12957	6101	4319	1683	99	152	0.984	-22	1	2002
Toronto Blue Jays	45	5.11	0.69	162	1458	1188	12945	6035	4315	1613	107	159	0.982	-7	1	2002
Anaheim Angels	37	4.51	0.7	162	1458	1127	12939	6106	4313	1690	103	142	0.983	39		2001
Arizona Diamondbacks	45	4.18	0.703	162	1458	1086	13137	6022	4379	1559	84	148	0.986	49		2001
Atlanta Braves	47	3.97	0.702	162	1458	1116	13026	6081	4342	1636	103	133	0.983	61		2001
Baltimore Orioles	46	5.12	0.694	162	1458	1173	12891	6021	4297	1599	125	137	0.979	-13	1	2001
Boston Red Sox	48	4.63	0.684	161	1449	1133	13032	6015	4344	1558	113	129	0.981	-50		2001
Chicago Cubs	43	4.33	0.688	162	1458	966	12933	5913	4311	1493	109	113	0.982	-12	1	2001
Chicago White Sox	41	4.91	0.698	162	1458	1090	12900	6149	4300	1731	118	149	0.981	7		2001
Cincinnati Reds	49	5.25	0.684	162	1458	1033	12984	6199	4328	1733	138	136	0.978	-39		2001
Cleveland Indians	43	5.07	0.67	162	1458	1055	13020	6057	4340	1610	107	137	0.982	-49		2001
Colorado Rockies	52	5.59	0.691	162	1458	1107	12870	6080	4290	1694	96	167	0.984	61	1	2001
Detroit Tigers	42	5.41	0.675	162	1458	1130	12864	6194	4288	1775	131	164	0.979	-35	1	2001
Florida Marlins	42	4.59	0.692	162	1458	1160	12942	6083	4314	1666	103	174	0.983	13		2001
Houston Astros	43	4.75	0.692	162	1458	1061	13092	6136	4364	1662	110	138	0.982	-3		2001
Kansas City Royals	44	5.3	0.69	162	1458	1156	12960	6238	4320	1801	117	204	0.981	50		2001
Los Angeles Dodgers	41	4.59	0.696	162	1458	1108	13056	6054	4352	1586	116	138	0.981	-33		2001
Milwaukee Brewers	46	4.98	0.696	162	1458	1130	12927	6141	4309	1729	103	156	0.983	-7		2001
Minnesota Twins	42	4.73	0.698	162	1458	1172	12972	5974	4324	1542	108	118	0.982	30		2001
Montreal Expos	46	5.01	0.682	162	1458	1145	12882	6023	4294	1621	108	139	0.982	-46	1	2001
New York Mets	43	4.4	0.694	162	1458	1034	13011	6014	4337	1576	101	132	0.983	-1		2001
New York Yankees	45	4.43	0.683	161	1449	1133	13062	5992	4354	1529	109	132	0.982	-57		2001
Oakland Athletics	41	3.98	0.699	162	1458	1172	13170	6271	4390	1756	125	151	0.98	19		2001
Philadelphia Phillies	44	4.44	0.699	162	1458	1212	13008	6030	4336	1603	91	145	0.985	42	1	2001
Pittsburgh Pirates	49	5.3	0.687	162	1458	1035	12747	6181	4249	1799	133	168	0.978	-3		2001
San Diego Padres	48	5.01	0.686	162	1458	1058	12966	6074	4322	1607	145	127	0.976	-46		2001
Seattle Mariners	35	3.87	0.727	162	1458	1047	13185	6012	4395	1534	83	137	0.986	104		2001
San Francisco Giants	41	4.62	0.692	162	1458	1019	13170	6158	4390	1650	118	170	0.981	6		2001
St. Louis Cardinals	39	4.22	0.703	162	1458	1055	12918	6080	4306	1664	110	156	0.982	61		2001
Tampa Bay Devil Rays	46	5.48	0.683	162	1458	1195	12813	5941	4271	1531	139	144	0.977	-28	1	2001
Texas Rangers	51	5.98	0.673	162	1458	1146	12945	6067	4315	1638	114	167	0.981	-47	1	2001
Toronto Blue Jays	40	4.65	0.68	162	1458	1146	13164	6316	4388	1831	97	184	0.985	-4		2001
Anaheim Angels	45	5.36	0.699	162	1458	1143	13032	6224	4344	1746	134	182	0.978	71		2000
Arizona Diamondbacks	41	4.65	0.687	162	1458	1132	12993	5979	4331	1541	107	138	0.982	17		2000
Atlanta Braves	46	4.41	0.692	162	1458	1114	12963	6183	4321	1733	129	138	0.979	36		2000
Baltimore Orioles	48	5.64	0.684	162	1458	1186	12900	5994	4300	1578	116	151	0.981	-21	1	2000
Boston Red Sox	50	4.6	0.696	162	1458	1071	13074	6114	4358	1647	109	120	0.982	38	1	2000
Chicago Cubs	50	5.58	0.693	162	1458	1069	13092	6038	4364	1574	100	139	0.983	6	1	2000
Chicago White Sox	41	5.18	0.685	162	1458	1130	13053	6170	4351	1686	133	190	0.978	6		2000
Cincinnati Reds	45	4.69	0.702	163	1467	1017	13107	6119	4369	1639	111	156	0.982	48		2000
Cleveland Indians	55	5.04	0.678	162	1458	1136	12981	6064	4327	1665	72	147	0.988	-14		2000
Colorado Rockies	49	5.54	0.684	162	1458	1103	12870	6111	4290	1727	94	176	0.985	55	1	2000
Detroit Tigers	44	5.1	0.679	162	1458	1059	12990	6189	4330	1754	105	171	0.983	4	1	2000
Florida Marlins	39	4.95	0.684	161	1449	1072	12867	6124	4289	1710	125	144	0.98	-11	1	2000
Houston Astros	45	5.83	0.678	162	1458	1039	12939	6007	4313	1561	133	149	0.978	-53		2000
Kansas City Royals	44	5.74	0.689	162	1458	1168	12954	6171	4318	1751	102	185	0.983	44		2000
Los Angeles Dodgers	45	4.5	0.696	162	1458	1115	13005	6187	4335	1717	135	151	0.978	6		2000
Milwaukee Brewers	46	5.07	0.693	163	1467	1144	13197	6264	4399	1747	118	187	0.981	29		2000
Minnesota Twins	41	5.43	0.671	162	1458	1108	12894	5926	4298	1526	102	155	0.983	-46		2000
Montreal Expos	49	5.57	0.672	162	1458	978	12822	6109	4274	1703	132	151	0.978	-37		2000
New York Mets	47	4.56	0.696	162	1458	956	13050	6050	4350	1582	118	121	0.98	11		2000
New York Yankees	46	5.06	0.693	161	1449	1068	12819	5869	4273	1487	109	132	0.981	-22		2000
Oakland Athletics	43	5.05	0.68	161	1449	1035	12918	6166	4306	1726	134	164	0.978	-46		2000
Philadelphia Phillies	51	5.12	0.693	162	1458	1148	12948	5907	4316	1491	100	136	0.983	13		2000
Pittsburgh Pirates	46	5.48	0.673	162	1458	1101	13041	6307	4347	1828	132	169	0.979	-59		2000
San Diego Padres	55	5.03	0.696	162	1458	1048	13134	6185	4377	1667	141	155	0.977	-6	1	2000
Seattle Mariners	37	4.81	0.698	162	1458	1047	12975	6053	4325	1629	99	176	0.984	29		2000
San Francisco Giants	36	4.61	0.689	162	1458	975	12999	6070	4333	1644	93	173	0.985	6		2000
St. Louis Cardinals	46	4.76	0.699	162	1458	1021	12903	5936	4301	1524	111	148	0.981	43		2000
Tampa Bay Devil Rays	49	5.23	0.684	161	1449	1129	12882	6226	4294	1814	118	169	0.981	10	1	2000
Texas Rangers	41	6.01	0.667	162	1458	1102	12861	6016	4287	1594	135	162	0.978	-62		2000
Toronto Blue Jays	45	5.6	0.676	162	1458	1237	12936	6091	4312	1679	100	176	0.984	1		2000
Anaheim Angels	45	5.1	0.699	162	1458	1155	12882	6123	4294	1723	106	156	0.983	72		1999
Arizona Diamondbacks	42	4.17	0.701	162	1458	1135	13206	6096	4402	1590	104	132	0.983	42	1	1999
Atlanta Braves	44	4.08	0.694	162	1458	1021	13239	6182	4413	1658	111	127	0.982	43		1999
Baltimore Orioles	42	5.03	0.697	162	1458	1128	12915	6175	4305	1781	89	191	0.986	39		1999
Boston Red Sox	48	4.43	0.693	162	1458	1188	12930	5985	4310	1548	127	132	0.979	48		1999
Chicago Cubs	46	5.68	0.676	162	1458	1033	12876	6028	4292	1597	139	135	0.977	-22		1999
Chicago White Sox	40	5.37	0.678	162	1458	1109	12945	6014	4315	1563	136	149	0.977	-20		1999
Cincinnati Reds	35	4.36	0.722	163	1467	1027	13158	6042	4386	1551	105	139	0.983	96		1999
Cleveland Indians	50	5.31	0.686	162	1458	1122	13053	6196	4351	1739	106	154	0.983	33		1999
Colorado Rockies	44	6.35	0.659	162	1458	1117	12861	6142	4287	1737	118	189	0.981	-87		1999
Detroit Tigers	41	5.48	0.688	161	1449	1125	12789	5992	4263	1623	106	156	0.982	34	1	1999
Florida Marlins	44	5.26	0.679	162	1458	1083	12921	6121	4307	1687	127	150	0.979	7	1	1999
Houston Astros	38	4.17	0.672	162	1458	1053	13128	6214	4376	1732	106	175	0.983	31		1999
Kansas City Royals	50	5.72	0.68	161	1449	1177	12786	6114	4262	1727	125	188	0.98	34		1999
Los Angeles Dodgers	43	4.86	0.697	162	1458	1104	13077	6221	4359	1725	137	137	0.978	6		1999
Milwaukee Brewers	44	5.5	0.677	161	1449	1041	12984	6124	4328	1669	127	146	0.979	-31		1999
Minnesota Twins	37	5.25	0.684	161	1449	1009	12810	5975	4270	1613	92	150	0.985	-9		1999
Montreal Expos	44	5.27	0.676	162	1458	930	12909	6081	4303	1618	160	125	0.974	-33	1	1999
New York Mets	44	4.36	0.705	163	1467	1011	13110	6045	4370	1607	68	147	0.989	22		1999
New York Yankees	37	4.51	0.696	162	1458	1185	12957	6007	4319	1577	111	132	0.982	-20		1999
Oakland Athletics	42	5.22	0.681	162	1458	994	12945	6137	4315	1700	122	166	0.98	-49		1999
Philadelphia Phillies	41	5.22	0.695	162	1458	1075	12945	6013	4315	1598	100	144	0.983	36	1	1999
Pittsburgh Pirates	44	4.86	0.683	161	1449	1107	12900	6193	4300	1746	147	179	0.976	4		1999
San Diego Padres	41	4.82	0.688	162	1458	969	12783	6023	4261	1633	129	151	0.979	22		1999
Seattle Mariners	51	5.59	0.671	162	1458	1071	12903	6104	4301	1690	113	182	0.981	-55		1999
San Francisco Giants	35	5.13	0.694	162	1458	1071	13107	6104	4369	1630	105	155	0.983	-47	1	1999
St. Louis Cardinals	42	5.2	0.68	161	1449	994	13008	6102	4336	1634	132	163	0.978	-3		1999
Tampa Bay Devil Rays	46	5.64	0.661	162	1458	1131	12897	6210	4299	1776	135	198	0.978	-54	1	1999
Texas Rangers	38	5.3	0.671	162	1458	1201	12927	6158	4309	1730	119	169	0.981	-5	1	1999
Toronto Blue Jays	51	5.32	0.678	162	1458	1224	12951	6087	4317	1664	106	165	0.983	8		1999
Anaheim Angels	45	4.83	0.686	162	1458	1100	12996	6084	4332	1646	106	146	0.983	-65		1998
Arizona Diamondbacks	45	5.01	0.704	162	1458	1099	12891	6118	4297	1721	100	125	0.984	18	1	1998
Atlanta Braves	42	3.59	0.7	162	1458	1106	12948	6088	4316	1681	91	139	0.985	84		1998
Baltimore Orioles	47	4.85	0.685	162	1458	1095	12882	6135	4294	1760	81	144	0.987	-10		1998
Boston Red Sox	47	4.5	0.703	162	1458	1136	12924	6038	4308	1625	105	128	0.983	62		1998
Chicago Cubs	47	4.86	0.683	163	1467	1016	13296	6155	4432	1622	101	107	0.984	-16		1998
Chicago White Sox	39	5.71	0.686	163	1467	1153	12948	6162	4316	1706	140	161	0.977	5	1	1998
Cincinnati Reds	47	4.69	0.697	162	1458	1013	12972	6009	4324	1563	122	142	0.98	13		1998
Cleveland Indians	46	4.81	0.682	162	1458	1146	13140	6217	4380	1727	110	146	0.982	37		1998
Colorado Rockies	42	5.28	0.675	162	1458	1066	12894	6195	4298	1795	102	193	0.984	14		1998
Detroit Tigers	45	5.33	0.685	162	1458	1153	13017	6266	4339	1812	115	164	0.982	57	1	1998
Florida Marlins	49	5.7	0.669	162	1458	1141	13047	6216	4349	1738	129	177	0.979	-12		1998
Houston Astros	37	3.83	0.689	162	1458	1123	13242	6304	4414	1782	108	144	0.983	0		1998
Kansas City Royals	50	5.58	0.676	161	1449	1100	12927	6123	4309	1689	125	172	0.98	-10		1998
Los Angeles Dodgers	52	4.19	0.695	162	1458	1053	13026	6207	4342	1731	134	154	0.978	-20		1998
Milwaukee Brewers	43	5.01	0.681	162	1458	1018	13059	6224	4353	1761	110	192	0.982	25		1998
Minnesota Twins	38	5.05	0.678	162	1458	1129	13029	6036	4343	1585	108	135	0.982	-107		1998
Montreal Expos	41	4.83	0.687	162	1458	1035	12843	6124	4281	1688	155	127	0.975	34	1	1998
New York Mets	49	3.98	0.699	162	1458	1015	13122	6147	4374	1672	101	151	0.984	8		1998
New York Yankees	37	4.05	0.708	162	1458	1172	13110	6110	4370	1642	98	146	0.984	28		1998
Oakland Athletics	44	5.35	0.682	162	1458	1062	12906	6097	4302	1654	141	155	0.977	-66		1998
Philadelphia Phillies	40	4.99	0.689	162	1458	1171	13167	6246	4389	1747	110	131	0.982	38	1	1998
Pittsburgh Pirates	38	4.4	0.686	163	1467	1145	13041	6185	4347	1698	140	161	0.977	-14		1998
San Diego Padres	42	3.92	0.691	162	1458	1029	13091.2	6195	4364	1727	104	155	0.983	-52		1998
Seattle Mariners	47	5.31	0.673	161	1449	1091	12819	5970	4273	1572	125	139	0.979	-14	1	1998
San Francisco Giants	40	4.53	0.699	163	1467	1041	13293	6338	4431	1806	101	157	0.984	13	1	1998
St. Louis Cardinals	45	4.8	0.687	163	1467	1040	13227	6332	4409	1781	142	160	0.978	7		1998
Tampa Bay Devil Rays	42	4.64	0.699	162	1458	1147	12987	6188	4329	1765	94	178	0.985	91	1	1998
Texas Rangers	40	5.38	0.668	162	1458	1153	12882	5995	4294	1580	121	140	0.98	19		1998
Toronto Blue Jays	41	4.71	0.692	163	1467	1145	13185	6052	4395	1532	125	131	0.979	1		1998
Anaheim Angels	41	4.9	0.69	162	1458	1156	13092	6079	4364	1592	123	140	0.98	21		1997
Atlanta Braves	38	3.59	0.7	162	1458	993	13191	6180	4397	1669	114	136	0.982	69		1997
Baltimore Orioles	38	4.2	0.699	162	1458	1087	13149	6145	4383	1665	97	148	0.984	14		1997
Boston Red Sox	45	5.29	0.674	162	1458	1151	13065	6186	4355	1696	135	179	0.978	24	1	1997
Chicago Cubs	42	4.69	0.692	162	1458	1067	12861	6004	4287	1605	112	117	0.981	38	1	1997
Chicago White Sox	45	5.17	0.688	161	1449	1069	12801	5833	4267	1439	127	131	0.978	-26		1997
Cincinnati Reds	50	4.72	0.697	162	1458	1029	13041	6029	4347	1576	106	129	0.982	-13		1997
Cleveland Indians	46	5.06	0.68	161	1449	1148	12831	6111	4277	1728	106	159	0.983	7		1997
Colorado Rockies	42	5.6	0.667	162	1458	1079	12894	6355	4298	1946	111	202	0.983	-1		1997
Detroit Tigers	43	4.88	0.698	162	1458	1121	13011	6149	4337	1720	92	146	0.985	-59	1	1997
Florida Marlins	43	4.13	0.692	162	1458	1058	13020	6106	4340	1650	116	167	0.981	-5		1997
Houston Astros	41	4.07	0.693	162	1458	1094	13131	6382	4377	1874	131	169	0.979	64		1997
Kansas City Royals	50	5.09	0.691	161	1449	1083	12987	6050	4329	1630	91	168	0.985	53		1997
Los Angeles Dodgers	42	3.98	0.706	162	1458	1106	13134	6057	4378	1563	116	104	0.981	-37		1997
Milwaukee Brewers	44	4.61	0.695	161	1449	1008	12846	6058	4282	1655	121	171	0.98	50		1997
Minnesota Twins	38	5.31	0.681	162	1458	1111	12906	6097	4302	1694	101	170	0.983	-7		1997
Montreal Expos	41	4.57	0.696	162	1458	1113	13023	6170	4341	1697	132	150	0.979	22	1	1997
New York Mets	45	4.38	0.697	162	1458	988	13134	6379	4378	1881	120	165	0.981	44	1	1997
